"Service","EC2-Other($)","EC2-Instances($)","S3($)","Total costs($)"
"2024-04-19","4.6453670248","","0.0350493822","4.680416407"
"2024-04-20","4.6453670248","","0.0350493822","4.680416407"
"2024-04-21","4.6453670248","","0.0350493822","4.680416407"
"2024-04-22","4.6453670248","","0.0350493822","4.680416407"
"2024-04-23","4.6453670248","","0.0350493822","4.680416407"
"2024-04-24","4.6453670248","","0.0350493822","4.680416407"
"2024-04-25","4.6453670248","","0.0350493822","4.680416407"
"2024-04-26","4.6453670248","","0.0350493822","4.680416407"
"2024-04-27","4.6453670248","","0.0350493822","4.680416407"
"2024-04-28","4.6453670248","","0.0350493822","4.680416407"
"2024-04-29","4.6453670248","","0.0350493822","4.680416407"
"2024-04-30","4.6453670248","","0.0350493822","4.680416407"
"2024-05-01","4.4955164755","","0.0339187569","4.5294352324"
"2024-05-02","4.4955164755","","0.0339187569","4.5294352324"
"2024-05-03","4.4955164755","","0.0339187569","4.5294352324"
"2024-05-04","24.307318714","16.272","0.0366279569","40.6159466709"
"2024-05-05","83.7406038815","65.088","0.0393194331","148.8679233146"
"2024-05-06","83.7381093701","65.088","0.0566986331","148.8828080032"
"2024-05-07","83.7379916625","65.088","0.0496848239","148.8756764864"
"2024-05-08","83.7379146151","65.088","0.0496848239","148.875599439"
"2024-05-09","51.4327621875","35.423992128","0.0496848239","86.9064391394"
"2024-05-10","13.2550561885","65.088","0.0496848239","78.3927410124"
"2024-05-11","13.2540699981","65.088","0.0496848239","78.391754822"
"2024-05-12","13.2542197385","65.088","0.1807888239","78.5230085624"
"2024-05-13","4.7825036151","2.544759096","1.8656005163","9.1928632274"
"2024-05-14","4.4955164755","","1.8655087163","6.3610251918"
"2024-05-15","4.4955164755","","1.8655087163","6.3610251918"
"2024-05-16","4.4955164755","","1.8655087163","6.3610251918"
"2024-05-17","4.4955164755","","1.8655087163","6.3610251918"
"2024-05-18","4.4955164755","","1.8655087163","6.3610251918"
"2024-05-19","4.4955164755","","1.8656255163","6.3611419918"
"2024-05-20","4.4955164755","","1.8655087163","6.3610251918"
"2024-05-21","4.4955164755","","1.8655087163","6.3610251918"
"2024-05-22","4.4955164755","","1.8655087163","6.3610251918"
"2024-05-23","4.4955164755","","1.8655087163","6.3610251918"
"2024-05-24","4.4955164755","","1.8655087163","6.3610251918"
"2024-05-25","4.4955164755","","1.8655087163","6.3610251918"
"2024-05-26","4.4955164755","","1.8655087163","6.3610251918"
"2024-05-27","31.5373267693","16.522106064","1.8712005163","49.9306333496"
"2024-05-28","4.4955164755","","1.8695082926","6.3650247681"
"2024-05-29","4.4955164755","","1.8695082926","6.3650247681"
"2024-05-30","4.4955164755","","1.8695082926","6.3650247681"
"2024-05-31","4.4955164755","","1.8695082926","6.3650247681"
