"Service","EC2-Other($)","EC2-Instances($)","S3($)","Total costs($)"
"Service total","2434.0656181517","1966.7365163183","352.8445611518","4753.6466956218"
"2024-01-01","","","0","0"
"2024-01-02","","","0","0"
"2024-01-03","","","0","0"
"2024-01-04","","","0.0183565207","0.0183565207"
"2024-01-05","","","0.0333391301","0.0333391301"
"2024-01-06","","","0.0333391301","0.0333391301"
"2024-01-07","","","0.0333391301","0.0333391301"
"2024-01-08","0.4602855726","0","0.0333391301","0.4936247027"
"2024-01-09","1.2323658394","16.272","0.0333391301","17.5377049695"
"2024-01-10","4.3548387824","65.088","0.0333391301","69.4761779125"
"2024-01-11","4.354838766","65.088","0.0333391301","69.4761778961"
"2024-01-12","4.3548387594","65.088","0.0333391301","69.4761778895"
"2024-01-13","4.354838789","65.0893711404","0.0333391301","69.4775490595"
"2024-01-14","4.3548387096","9.913867872","0.0333391301","14.3020457117"
"2024-01-15","4.3548387096","","0.0333391301","4.3881778397"
"2024-01-16","5.8010286392","","0.0333391301","5.8343677693"
"2024-01-17","8.5267211258","2.9001020188","0.0333391301","11.4601622747"
"2024-01-18","12.7137011429","65.088","0.0333391301","77.835040273"
"2024-01-19","12.7137013338","65.088","0.0333970031","77.8350983369"
"2024-01-20","12.7137011253","52.988713032","0.0333970031","65.7358111604"
"2024-01-21","9.2437403751","5.194987872","0.0334271395","14.4721553866"
"2024-01-22","8.9696383569","","0.0334271395","9.0030654964"
"2024-01-23","8.9696383569","","0.0334271395","9.0030654964"
"2024-01-24","8.8861673582","20.361847872","0.0334271395","29.2814423697"
"2024-01-25","11.2006658719","33.5213174298","0.0338115129","44.7557948146"
"2024-01-26","13.058336301","65.088","0.0338418395","78.1801781405"
"2024-01-27","13.0583441768","65.088","0.0338418395","78.1801860163"
"2024-01-28","13.0583362208","7.723173936","0.0338418395","20.8153519963"
"2024-01-29","10.1367637035","19.720006968","0.0338418395","29.890612511"
"2024-01-30","8.7034975112","","0.0340460864","8.7375435976"
"2024-01-31","8.7034975112","","0.0340460864","8.7375435976"
"2024-02-01","9.3892720676","21.751747872","0","31.1410199396"
"2024-02-02","17.8400350905","65.088","0","82.9280350905"
"2024-02-03","17.8400349242","65.088","0","82.9280349242"
"2024-02-04","12.3989740545","37.673446968","0.0307480262","50.1031690487"
"2024-02-05","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-06","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-07","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-08","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-09","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-10","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-11","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-12","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-13","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-14","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-15","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-16","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-17","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-18","5.8465003704","8.136","0.0364896899","14.0189900603"
"2024-02-19","13.1331385585","65.088","0.0364977148","78.2576362733"
"2024-02-20","13.1331384707","65.088","0.0365068982","78.2576453689"
"2024-02-21","10.4638789056","44.132527872","0.0365068982","54.6329136758"
"2024-02-22","4.8055520946","","0.0365235157","4.8420756103"
"2024-02-23","4.8055520946","","0.0365235157","4.8420756103"
